file,block,type,detail,text
zhTW_L16S2_revised.srt,12,duplicate_phrase,"""此外，"" repeated",此外，此外，配對題型的標題還有一些特徵，您應注意。
zhTW_L16S2_revised.srt,40,vocab_violation,"""瞭解"" → 了解",瞭解這個步驟的重要性後，我會給你 15 秒的時間，在每個標題中劃出關鍵字。
zhTW_L16S2_revised.srt,44,leading_comma,"starts with ""，""",，但 5 側重於不同的方式和方 法，而 6 則側重於成功率。
zhTW_L16S2_revised.srt,79,vocab_violation,"""詞彙"" → 字彙",此外，如果您沒有足夠的詞彙和良好的文法理解能力
zhTW_L16S2_revised.srt,81,vocab_violation,"""堂課"" → 單元",最後，我真心希望您喜歡這堂課。
zhTW_L18-2_revised.srt,6,untranslated_english,"""matching information to paragraphs""",matching information to paragraphs 題型
zhTW_L18-2_revised.srt,9,vocab_violation,"""瞭解"" → 了解",瞭解此題型的解題步驟後， 我們將回到開頭的題目。
zhTW_L18-2_revised.srt,54,vocab_violation,"""瞭解"" → 了解",段落內容有某種程度的瞭解。
zhTW_L18-2_revised.srt,58,vocab_violation,"""瞭解"" → 了解",讓我們在下一部分中進一步瞭解它們。
zhTW_L18-2_revised.srt,70,vocab_violation,"""瞭解"" → 了解",既然我們已經瞭解需求，現在請閱 讀並劃出第 1 題的關鍵字。
zhTW_L18-2_revised.srt,76,vocab_violation,"""同義詞"" → 同義字",接著，我們掃描文章，尋找同義詞或相關詞
zhTW_L18-2_revised.srt,112,untranslated_english,"""Displacement of lower income families""",3. Displacement of lower income families 低收入家庭被迫搬遷。
zhTW_L18-2_revised.srt,117,trailing_fragment,"ends with ""B""",關鍵詞 供給與需求 帶我們到 段落 B
zhTW_L18-2_revised.srt,148,vocab_violation,"""堂課"" → 單元",目前就先到這裡，再見，我們下一堂課見。
zhTW_L1S1_revised.srt,6,vocab_violation,"""瞭解"" → 了解",進行閱讀測驗並瞭解課程概況。
zhTW_L1S1_revised.srt,47,vocab_violation,"""詞彙"" → 字彙",使用從文章中提取的短詞彙回答問題。
zhTW_L1S1_revised.srt,64,vocab_violation,"""瞭解"" → 了解",在瞭解 IELTS 閱讀測驗的概況後，
zhTW_L1S1_revised.srt,67,vocab_violation,"""瞭解"" → 了解",協助您瞭解 IELTS 閱讀測驗的形式。
zhTW_L1S1_revised.srt,83,vocab_violation,"""詞彙"" → 字彙",建立錯題表和詞彙清單。
zhTW_L1S1_revised.srt,92,vocab_violation,"""詞彙"" → 字彙",將無法提升您的詞彙量，因為
zhTW_L1S1_revised.srt,95,vocab_violation,"""詞彙"" → 字彙",僅會深入探討詞彙量的擴充套件，還會
zhTW_L1S1_revised.srt,120,vocab_violation,"""詞彙"" → 字彙",關於製作詞彙清單，因為在一個
zhTW_L1S1_revised.srt,122,trailing_fragment,"ends with ""for""","new words, and it is very difficult for"
zhTW_L1S1_revised.srt,124,leading_comma,"starts with ""，""",，一些比較實用的專有名詞，我們
zhTW_L1S1_revised.srt,125,vocab_violation,"""詞彙"" → 字彙",應優先依下列順序學習詞彙。
zhTW_L1S1_revised.srt,156,vocab_violation,"""詞彙"" → 字彙",我的詞彙清單。
zhTW_L1S1_revised.srt,161,vocab_violation,"""同義詞"" → 同義字",在「同義詞」或「改寫」欄位中
zhTW_L1S1_revised.srt,173,vocab_violation,"""詞彙"" → 字彙",例如，在詞彙表中，我寫了
zhTW_L1S1_revised.srt,181,vocab_violation,"""詞彙"" → 字彙",使用您剛剛學會的詞彙造句，並
zhTW_L1S1_revised.srt,189,vocab_violation,"""詞彙"" → 字彙",起初是因為你會遇到很多新詞彙。
zhTW_L1S1_revised.srt,192,leading_comma,"starts with ""，""",，並從這些文字中學習新詞彙，
zhTW_L1S1_revised.srt,192,vocab_violation,"""詞彙"" → 字彙",，並從這些文字中學習新詞彙，
zhTW_L1S1_revised.srt,197,simplified_char,节→節,在第一节课上。
zhTW_L20-2_revised.srt,31,duplicate_phrase,"""，但完整句子的內容卻不相符"" repeated",識別的資訊區域，但完整句子的內容卻不相符，但完整句子的內容卻不相符。
zhTW_L20-2_revised.srt,35,duplicate_phrase,"""可能出現"" repeated",因此，可能出現可能出現的結尾資訊區會隨機分佈於文章中。
zhTW_L20-2_revised.srt,37,leading_comma,"starts with ""，""",，您應該在進行「句子結尾配 對」之前，先著重於這些題型。
zhTW_L20-2_revised.srt,38,vocab_violation,"""瞭解"" → 了解",因為當時，我們對文中的內容有更深的瞭解。
zhTW_L20-2_revised.srt,41,leading_comma,"starts with ""，""",，我們可以優先處理包 含不可更動關鍵字的題目。
zhTW_L20-2_revised.srt,57,cross_block_split,"""End"" → block 58 starts ""ings，而答題捲上的答案會是 A 到 """,從題目要求中，我們可以看到這是 Matching Sentence End
zhTW_L20-2_revised.srt,57,trailing_fragment,"ends with ""End""",從題目要求中，我們可以看到這是 Matching Sentence End
zhTW_L20-2_revised.srt,144,vocab_violation,"""堂課"" → 單元",希望你喜歡這堂課。
zhTW_L22S2_revised.srt,10,vocab_violation,"""堂課"" → 單元",但別擔心，在本堂課程結束時，你將能處理
zhTW_L22S2_revised.srt,12,vocab_violation,"""瞭解"" → 了解",今天的目標是瞭解配對題型的定義與主要特徵，
zhTW_L22S2_revised.srt,18,simplified_char,实→實,步驟與練習。我們將學習逐步方法，並將其 套用至有關教育人工智慧的真实範例。
zhTW_L22S2_revised.srt,33,vocab_violation,"""瞭解"" → 了解",一旦您瞭解此題型的主要部分，就需要理解其特徵
zhTW_L22S2_revised.srt,34,leading_comma,"starts with ""，""",，以便擬定適合的解題步驟。
zhTW_L22S2_revised.srt,67,vocab_violation,"""瞭解"" → 了解",這有助於我們瞭解應將它們與哪些功能及問題配對。
zhTW_L22S2_revised.srt,85,leading_comma,"starts with ""，""",，並擬定適當的閱讀策略。
zhTW_L22S2_revised.srt,101,vocab_violation,"""瞭解"" → 了解",第 3 步：仔細閱讀資訊區 ，以瞭解有關特徵的主旨。
zhTW_L22S2_revised.srt,110,leading_comma,"starts with ""，""",，但人類每次親自執行卻難以擴展。
zhTW_L22S2_revised.srt,123,vocab_violation,"""同義詞"" → 同義字",教學法與教學方法是同義詞。
zhTW_L22S2_revised.srt,128,simplified_char,个→個,包含回答這些問題的四个技巧，以及四个遵循的步骤
zhTW_L22S2_revised.srt,130,vocab_violation,"""堂課"" → 單元",今天表現很棒，我們下一堂課見。
zhTW_L24S2_revised.srt,24,vocab_violation,"""瞭解"" → 了解",在中階，僅瞭解多項選擇題的型別是不夠的。
zhTW_L24S2_revised.srt,25,vocab_violation,"""瞭解"" → 了解",我們需要徹底瞭解問題的目的，才能制定
zhTW_L24S2_revised.srt,53,duplicate_phrase,"""這兩種題型的唯一共同點是，"" repeated",這兩種題型的唯一共同點是，這兩種題型的唯一共同點是，資訊會
zhTW_L24S2_revised.srt,55,trailing_fragment,"ends with ""w""",然而，事實性資訊問題的答案會在文中直接陳述，而 w
zhTW_L24S2_revised.srt,59,leading_comma,"starts with ""，""",，我們將處理上一段提到的兩個問題。
zhTW_L24S2_revised.srt,71,vocab_violation,"""詞彙"" → 字彙",作者使用了強烈的負面詞彙，例如 不幸的是 和 危險的。
zhTW_L24S2_revised.srt,75,vocab_violation,"""瞭解"" → 了解",透過這個範例，我們也瞭解到，即使問題是
zhTW_L24S2_revised.srt,108,leading_comma,"starts with ""，""",，使其比籃球更具吸引力。
zhTW_L24S2_revised.srt,123,leading_comma,"starts with ""，""",，即團隊的表現過於出色且無必要。
zhTW_L24S2_revised.srt,155,vocab_violation,"""同義詞"" → 同義字",在選項中尋找同義詞。
zhTW_L24S2_revised.srt,166,vocab_violation,"""同義詞"" → 同義字",我們來看看同義詞 synonyms。
zhTW_L24S2_revised.srt,179,vocab_violation,"""同義詞"" → 同義字",我們來看看同義詞。
zhTW_L24S2_revised.srt,182,leading_comma,"starts with ""，""",，使得選項 C 的所有 內容都與題目緊密契合。
zhTW_L24S2_revised.srt,199,vocab_violation,"""堂課"" → 單元",我們先結束這堂課，接下來進入主旨題。
zhTW_L24S4_revised.srt,2,vocab_violation,"""堂課"" → 單元",歡迎回到我們的中階閱讀課程下一堂課。
zhTW_L24S4_revised.srt,56,vocab_violation,"""同義詞"" → 同義字",我們可以從 financial gain 這個詞辨識出 來，它是 grow financially 的同義詞。
zhTW_L24S4_revised.srt,61,vocab_violation,"""詞彙"" → 字彙",提到高清或特定詞彙「digital diaries」。
zhTW_L24S4_revised.srt,108,cross_block_split,"""v"" → block 109 starts ""isibility」的同義詞。""",影片會顯示給使用者的「邏輯系統」，也是「content v
zhTW_L24S4_revised.srt,108,trailing_fragment,"ends with ""v""",影片會顯示給使用者的「邏輯系統」，也是「content v
zhTW_L24S4_revised.srt,109,vocab_violation,"""同義詞"" → 同義字",isibility」的同義詞。
zhTW_L24S4_revised.srt,115,vocab_violation,"""瞭解"" → 了解",本課程結束後，我們將能夠瞭解具有多個答案的多項選擇題的
zhTW_L24S4_revised.srt,122,vocab_violation,"""堂課"" → 單元",下一堂課見。
zhTW_L26-4_revised.srt,15,cross_block_split,"""not"" → block 16 starts ""yes, no, 或 not given""","我們需要達成的三個目標是：瞭解並辨識「yes, no or not"
zhTW_L26-4_revised.srt,15,trailing_fragment,"ends with ""not""","我們需要達成的三個目標是：瞭解並辨識「yes, no or not"
zhTW_L26-4_revised.srt,15,vocab_violation,"""瞭解"" → 了解","我們需要達成的三個目標是：瞭解並辨識「yes, no or not"
zhTW_L26-4_revised.srt,17,vocab_violation,"""瞭解"" → 了解",瞭解並辨識三種答案型別的某些特徵 Yes、No 或 Not Given
zhTW_L26-4_revised.srt,18,trailing_fragment,"ends with ""Giv""",Yes/No/Not Given 題型簡介 瞭解並套用 Yes、No 或 Not Giv
zhTW_L26-4_revised.srt,18,vocab_violation,"""瞭解"" → 了解",Yes/No/Not Given 題型簡介 瞭解並套用 Yes、No 或 Not Giv
zhTW_L26-4_revised.srt,23,slash_artifact,"""True/False"" (translation alt — pick one)",這裡有兩個 True/False/Not Given 題型與 Yes/No/Not Given 題型。
zhTW_L26-4_revised.srt,54,slash_artifact,"""True/False"" (translation alt — pick one)",文章通常會表達作者觀點，而 True/False/Not Given 題型提供關於主題的事實。
zhTW_L26-4_revised.srt,106,vocab_violation,"""堂課"" → 單元",在這堂課之後，我們可以
zhTW_L26-4_revised.srt,115,vocab_violation,"""堂課"" → 單元",這也屬於我們中階閱讀課程的最終一堂課。
zhTW_L26S2_revised.srt,5,vocab_violation,"""瞭解"" → 了解",本課程旨在幫助您瞭解並辨識 True、F alse 或 Not Given 題型的特徵。
zhTW_L26S2_revised.srt,6,vocab_violation,"""瞭解"" → 了解",瞭解並套用 True、False 或 Not Given 題型的解答步驟。
zhTW_L26S2_revised.srt,14,vocab_violation,"""瞭解"" → 了解",讓我們進一步透過範 例來瞭解此題型的結構。
zhTW_L26S2_revised.srt,41,vocab_violation,"""詞彙"" → 字彙",範例：變更詞彙形式，或將主動語態改為被動語態。
zhTW_L26S2_revised.srt,43,vocab_violation,"""詞彙"" → 字彙",例如，可以變更關鍵字的詞彙形式。
zhTW_L26S2_revised.srt,53,vocab_violation,"""同義詞"" → 同義字",同義詞。
zhTW_L26S2_revised.srt,55,vocab_violation,"""詞彙"" → 字彙",最後一個技巧是同義詞，在此我們使用詞彙、短語或表達方式
zhTW_L26S2_revised.srt,55,vocab_violation,"""同義詞"" → 同義字",最後一個技巧是同義詞，在此我們使用詞彙、短語或表達方式
zhTW_L26S2_revised.srt,62,vocab_violation,"""詞彙"" → 字彙",注意細節，特別是修飾性詞彙，例如頻率副詞（Adverbs of frequency），如 often、barely、always
zhTW_L26S2_revised.srt,68,vocab_violation,"""詞彙"" → 字彙",與文章相比，這些詞彙和片語 可能會完全改變問題的意思。
zhTW_L26S2_revised.srt,116,vocab_violation,"""瞭解"" → 了解",好了，現在我們已經瞭解了此題型的特徵，接 下來進入第二部分，學習相關的步驟。
zhTW_L26S2_revised.srt,126,vocab_violation,"""瞭解"" → 了解",您應該閱讀整段陳述以瞭解其含義。 理解其含義，且不應完全依賴關鍵字。
zhTW_L26S2_revised.srt,135,vocab_violation,"""詞彙"" → 字彙",這是一個很好的「scanning」詞彙，因為它在文中很容易被發現。
zhTW_L26S2_revised.srt,150,vocab_violation,"""同義詞"" → 同義字",Mean 和 rude 是同義詞。
zhTW_L26S2_revised.srt,166,vocab_violation,"""堂課"" → 單元",下一堂課見。
zhTW_L2S1_revised.srt,79,vocab_violation,"""詞彙"" → 字彙",這些詞彙通常具有重要的意義或起到作用
zhTW_L2S1_revised.srt,83,vocab_violation,"""瞭解"" → 了解",我們仍然瞭解這句 句子 在講什麼。
zhTW_L2S1_revised.srt,92,leading_comma,"starts with ""，""",，閱讀速度更快、資訊
zhTW_L2S1_revised.srt,94,vocab_violation,"""瞭解"" → 了解",現在我們已經瞭解了定義，接下來要
zhTW_L2S1_revised.srt,95,vocab_violation,"""瞭解"" → 了解",瞭解各種型別的關鍵字，以便
zhTW_L2S1_revised.srt,114,vocab_violation,"""詞彙"" → 字彙",而藍色的關鍵字是通用詞彙。
zhTW_L2S1_revised.srt,116,leading_comma,"starts with ""，""",，或無法變更的關鍵字。
zhTW_L2S1_revised.srt,162,vocab_violation,"""詞彙"" → 字彙",副詞是我們需要專注的詞彙
zhTW_L2S1_revised.srt,180,cross_block_split,"""SU"" → block 181 starts ""introducing the cars""",如介紹汽車段落中出現的 SU
zhTW_L2S1_revised.srt,180,trailing_fragment,"ends with ""SU""",如介紹汽車段落中出現的 SU
zhTW_L2S1_revised.srt,182,trailing_fragment,"ends with ""I""",這是 Sport Utility Vehicle 或我們提到的 I
zhTW_L2S1_revised.srt,185,untranslated_english,"""International English Language Testing System""",完整片語為 International English Language Testing System。
zhTW_L2S1_revised.srt,226,vocab_violation,"""詞彙"" → 字彙",如果有新的詞彙，記得
zhTW_L2S1_revised.srt,249,vocab_violation,"""詞彙"" → 字彙",具有廣泛含義、適用於多種語境的詞彙
zhTW_L2S1_revised.srt,252,vocab_violation,"""詞彙"" → 字彙",例如，to be、have、include、they're 以及 people 等單字 等詞彙。
zhTW_L2S1_revised.srt,265,vocab_violation,"""堂課"" → 單元",下一堂課見。
zhTW_L2S4_revised.srt,15,leading_comma,"starts with ""，""",，你應該怎麼做呢？
zhTW_L2S4_revised.srt,17,vocab_violation,"""瞭解"" → 了解",瞭解這種感受。
zhTW_L2S4_revised.srt,19,vocab_violation,"""詞彙"" → 字彙",為「在語境中理解詞彙」的技巧，這
zhTW_L2S4_revised.srt,23,vocab_violation,"""詞彙"" → 字彙",理解語境中的詞彙或猜測詞意。
zhTW_L2S4_revised.srt,60,vocab_violation,"""詞彙"" → 字彙",每個詞的意思或理解所有詞彙。
zhTW_L2S4_revised.srt,62,vocab_violation,"""詞彙"" → 字彙",有時我們可以完全跳過某些詞彙
zhTW_L2S4_revised.srt,63,leading_comma,"starts with ""，""",，但仍能理解所傳達的資訊。
zhTW_L2S4_revised.srt,88,vocab_violation,"""瞭解"" → 了解",如果我們不瞭解這個字，整句
zhTW_L2S4_revised.srt,93,vocab_violation,"""瞭解"" → 了解",到了這個階段，你還不瞭解如何運用
zhTW_L2S4_revised.srt,119,vocab_violation,"""詞彙"" → 字彙",第一，文法與詞彙形式線索。
zhTW_L2S4_revised.srt,140,leading_comma,"starts with ""，""",，您可以使用一些英英字典，例如
zhTW_L2S4_revised.srt,143,vocab_violation,"""瞭解"" → 了解",英英字典來瞭解詞彙的正確
zhTW_L2S4_revised.srt,143,vocab_violation,"""詞彙"" → 字彙",英英字典來瞭解詞彙的正確
zhTW_L2S4_revised.srt,163,vocab_violation,"""詞彙"" → 字彙",根據文法和詞彙形式來猜測詞義。
zhTW_L2S4_revised.srt,164,vocab_violation,"""詞彙"" → 字彙",文法與詞彙形式的知識在
zhTW_L2S4_revised.srt,174,leading_comma,"starts with ""，""",，分析其結構、演變及文化意義。
zhTW_L2S4_revised.srt,192,simplified_char,动→動,我們可以看出這個句子是被动語態，是
zhTW_L2S4_revised.srt,202,trailing_fragment,"ends with ""pr""",我們只需檢視 relative pr
zhTW_L2S4_revised.srt,220,vocab_violation,"""瞭解"" → 了解",搭配下方的其他線索，我們可以瞭解
zhTW_L2S4_revised.srt,223,vocab_violation,"""詞彙"" → 字彙",關於詞彙形式，這個線索比較明確。
zhTW_L2S4_revised.srt,244,vocab_violation,"""詞彙"" → 字彙",有時候，詞彙的定義
zhTW_L2S4_revised.srt,247,trailing_fragment,"ends with ""in""","start a new business, has been included in"
zhTW_L3S1_revised.srt,1,trailing_fragment,"ends with ""IE""",大家好，歡迎回到 PREP 的 IE
zhTW_L3S1_revised.srt,7,leading_comma,"starts with ""，""",，但事實上並非如此。
zhTW_L3S1_revised.srt,11,vocab_violation,"""瞭解"" → 了解",今天的課程旨在協助您瞭解 IELT
zhTW_L3S1_revised.srt,30,vocab_violation,"""詞彙"" → 字彙",須思考我們想要使用的詞彙
zhTW_L3S1_revised.srt,33,leading_comma,"starts with ""，""",，每個空格有四個選項。
zhTW_L3S1_revised.srt,42,vocab_violation,"""瞭解"" → 了解",我們將在下一堂課中進一步瞭解。
zhTW_L3S1_revised.srt,42,vocab_violation,"""堂課"" → 單元",我們將在下一堂課中進一步瞭解。
zhTW_L3S1_revised.srt,92,vocab_violation,"""詞彙"" → 字彙",句子填空題，在空白處填入詞彙以
zhTW_L3S1_revised.srt,94,vocab_violation,"""詞彙"" → 字彙",注意填空題，在空白處填入詞彙以完成備註。
zhTW_L3S1_revised.srt,109,vocab_violation,"""詞彙"" → 字彙",摘要填空題（附詞彙清單），需
zhTW_L3S1_revised.srt,110,vocab_violation,"""詞彙"" → 字彙",使用所提供的詞彙進行填空。
zhTW_L3S1_revised.srt,112,vocab_violation,"""詞彙"" → 字彙",沒有提供 指定詞彙
zhTW_L3S1_revised.srt,113,vocab_violation,"""瞭解"" → 了解",我們需要瞭解這兩者之間的某些差異，但我們
zhTW_L3S1_revised.srt,116,vocab_violation,"""瞭解"" → 了解",請透過以下兩個範例來瞭解它們。
zhTW_L3S1_revised.srt,175,leading_comma,"starts with ""、""",、形容詞，還是其他詞性？
zhTW_L3S1_revised.srt,199,vocab_violation,"""同義詞"" → 同義字",的形式變化和同義詞。
zhTW_L3S1_revised.srt,201,vocab_violation,"""同義詞"" → 同義字",你會找到它們的變化形式和同義詞。
zhTW_L3S1_revised.srt,215,leading_comma,"starts with ""，""",，此題型對我們來說就不會再難。
zhTW_L3S1_revised.srt,216,duplicate_phrase,"""，大家"" repeated",好，大家，大家先休息一下，再做練習。
zhTW_L4S2_revised.srt,9,vocab_violation,"""瞭解"" → 了解",本課程旨在幫助您瞭解 IELTS
zhTW_L4S2_revised.srt,19,vocab_violation,"""詞彙"" → 字彙",閱讀文章中的詞彙。
zhTW_L4S2_revised.srt,23,vocab_violation,"""堂課"" → 單元",在上一堂課中，您學習了 IELTS
zhTW_L4S2_revised.srt,38,untranslated_english,"""Complete the sentences below""",此題目的指示為「Complete the sentences below」字句。
zhTW_L4S2_revised.srt,43,vocab_violation,"""瞭解"" → 了解",瞭解題目要求後，我們將進入……
zhTW_L4S2_revised.srt,54,vocab_violation,"""詞彙"" → 字彙",文法與詞彙形式。
zhTW_L4S2_revised.srt,56,vocab_violation,"""詞彙"" → 字彙",或其他詞彙形式？
zhTW_L4S2_revised.srt,82,vocab_violation,"""詞彙"" → 字彙",關於文法與詞彙形式，空白處在形容詞之後
zhTW_L4S2_revised.srt,86,cross_block_split,"""a"" → block 87 starts ""homeschooling enviro""",that can be chosen or customized in a
zhTW_L4S2_revised.srt,86,trailing_fragment,"ends with ""a""",that can be chosen or customized in a
zhTW_L4S2_revised.srt,92,trailing_fragment,"ends with ""and""",stay 之後，並透過連結詞 and
zhTW_L4S2_revised.srt,96,vocab_violation,"""詞彙"" → 字彙",答案將是一個描述詞彙
