lesson,segment,timestamp,source,tw content A,tw content A-accuracy,tw content A-naturalness,Notes
1.0,24.0,"00:01:30,200 --> 00:01:31,680",We'll really nail those down.,我們會確實掌握這些。,60.0,80.0,"Here, ""those"" should be translated into a Chinese noun for easy understanding and good readability such as:這些知識點"
1.0,25.0,"00:01:32,160 --> 00:01:35,600","And finally, get you started with creating your own basic sentences",最後，幫助您開始建立您自己的 basic sentences,50.0,80.0,Segment 24 and 25 shall be combined and translated into Chinese as a whole
1.0,26.0,"00:01:35,920 --> 00:01:37,360",that are grammatically correct.,在文法上是正確的。,50.0,80.0,The translation may be:最後，引導你開始撰寫語法正確的基本句子。
1.0,27.0,"00:01:39,800 --> 00:01:43,334","The course is structured into six main lessons, and each one focuses",本課程分為六個主要單元，每個單元都著重於,90.0,86.0,Translation is  good even though it is split
1.0,28.0,"00:01:43,400 --> 00:01:44,760",on a core grammar topic.,核心文法主題。,90.0,86.0,Translation is  good even though it is split
1.0,29.0,"00:01:45,160 --> 00:01:49,240","Within each lesson, you'll find 2-4 smaller lessons or sections.",在每個課程中，你會找到 2 到 4 個較小的課程或章節。,88.0,73.0,"Meaning is accurate, but it has heavy translationese feeling"
1.0,30.0,"00:01:50,000 --> 00:01:54,334","That adds up to 23 lessons in total, and each one is carefully designed",總計共有 23 個課程，每個課程都經過精心設計。,80.0,60.0,"Segment 29,30 and 31 shall be combined and translated into Chinese as a whole
 "
1.0,31.0,"00:01:54,400 --> 00:01:58,880","to cover the three crucial aspects of any grammar point: how it's used,",涵蓋任何 grammar point 的三個關鍵面向：其用法，,80.0,60.0,"Here, grammar point, nouns,verbs are translatable for easy understanding "
1.0,32.0,"00:01:59,080 --> 00:02:00,960","its form, and what it means.",其形式及其含義。,80.0,60.0,The complete translation may be:總計共 23 節課，每個課程經過精心設計，涵蓋任何文法要點的三大關鍵點：用法、組成結構與涵義。
1.0,33.0,"00:02:03,000 --> 00:02:06,800","So throughout this course, we'll be exploring, nouns, verbs,",因此，在本課程中，我們將探索 nouns、verbs，,70.0,60.0,"Here, nouns,verbs,adjectives,adverbs,pronouns and prepositions should be translated for the sake of easy understanding by native Chinese"
1.0,34.0,"00:02:07,240 --> 00:02:11,334","adjectives and adverbs, pronouns, prepositions, and of course,",adjectives、adverbs、pronouns、prepositions，當然還有，,70.0,60.0,"Segment 32,33, and 34 shall be combined and translated into Chinese as a whole
 "
1.0,35.0,"00:02:11,400 --> 00:02:12,680",basic sentence structure.,基本句子結構。,70.0,60.0,The translation may be:因此，在本課程中，我們將學習名詞、動詞、形容詞與副詞、代名詞、介系詞，當然還有基礎句型結構。
1.0,36.0,"00:02:13,200 --> 00:02:14,960","Now, I want to be upfront about something.",現在，我想就某件事坦白說明。,85.0,70.0,Readability is relatively acceptable
1.0,37.0,"00:02:15,480 --> 00:02:18,920",This course isn't meant to cover every single detail of English grammar.,本課程並非旨在涵蓋 English grammar 的所有細節。,70.0,60.0,Having heavy Chinese-y tone. 
1.0,38.0,"00:02:19,480 --> 00:02:23,160",There are some pretty complex areas that really require a strong foundation,有些領域相當複雜，確實需要扎實的基礎。,60.0,80.0,"Segment 37 and 38 shall be combined and translated into Chinese as a whole
 However these two rows of translations are easily understood and readable.
Misaligned meaning"
1.0,39.0,"00:02:23,360 --> 00:02:26,880",in pronunciation and vocabulary before you can tackle them effectively.,在發音和詞彙方面，您必須先熟悉，才能有效掌握。,60.0,80.0,The complete translation may be:有些知識相對難，必須先具備扎實的發音與詞彙基礎，才能有效掌握。
1.0,40.0,"00:02:27,320 --> 00:02:31,440",We'll save those more advanced topics for our intermediate and advanced courses.,我們會將這些較進階的主題留待中階和高階課程中討論。,80.0,80.0,Readability is relatively good
1.0,41.0,"00:02:31,520 --> 00:02:34,680",The key here is to focus on quality over quantity.,這裡的重點在於專注於品質，而非數量。,80.0,80.0,Readability is relatively good
1.0,42.0,"00:02:35,080 --> 00:02:38,094","We're going to go deep, make sure you truly understand,",我們來深入探討，確保您真正理解，,75.0,60.0,"Translation is relatively good, but has a little AI tone."
1.0,43.0,"00:02:38,160 --> 00:02:39,880",and build skills that will last.,並培養能長久持續的技能。,70.0,60.0,41 and 42 forms a complete sentence. 
1.0,44.0,"00:02:41,960 --> 00:02:44,614",You'll notice that our approach here at Prep is a little different,您會發現我們在 Prep 的教學方式有些不同。,50.0,70.0,A complete sentence combining segment 43 and 44 was split. So the translaton which is created based on one separate row of source text must be largely different from the souce. 
1.0,45.0,"00:02:44,680 --> 00:02:46,200",from traditional grammar classes.,來自傳統的語法課程。,50.0,70.0,split sentence
1.0,46.0,"00:02:46,600 --> 00:02:49,960",We're all about empowering you to become active independent learners.,我們致力於賦予您力量，讓您成為主動且獨立的學習者。,80.0,60.0,It has heavy translationese tone.
1.0,47.0,"00:02:50,360 --> 00:02:53,360",We want you to develop the skills to continue improving your English,我們希望您培養能持續提升英語能力的技能。,60.0,70.0,46 and 47 forms a complete sentence. 
1.0,48.0,"00:02:53,560 --> 00:02:55,320",even after this course is over.,即使完成本課程後。,60.0,70.0,Split sentence leads to mistranslation
1.0,49.0,"00:02:55,760 --> 00:02:59,574","So instead of just throwing a bunch of grammar rules at you, we'll be using",因此，我們不會只是把一堆 grammar rules 丟給您，而是會使用,60.0,70.0,Split sentence leads to mistranslation
1.0,51.0,"00:03:01,920 --> 00:03:06,200",Think of it as actively exploring the language with a little guidance from me.,請將這視為一種積極探索語言的過程，並會得到我的一些引導。,40.0,60.0,The translation makes no sense. 
1.0,52.0,"00:03:06,720 --> 00:03:07,760",Here's how it works.,運作方式如下。,80.0,80.0,Translation is relatively good
1.0,53.0,"00:03:08,120 --> 00:03:10,240",I won't just lecture you with a list of rules.,我不會只是列出一堆 rules 對您進行填鴨式教學。,75.0,80.0,"""Rules""  should be translated.
Translation is relatively good"
