draft,lesson,block,timestamp,source,translation,score,verdict,corrected,issues
Draft 1,L1S1,58,"00:05:02,400 --> 00:05:08,080","For example, you aim for 8 points in Part 1, 7 points in Part 2,",例如，您在第一部分目標是 8 分，第二部分 7 分,35,needs_revision,,[medium] terminology: None; [high] placeholder: None
Draft 1,L1S1,59,"00:05:08,080 --> 00:05:13,060",and then scrape together 8 to 9 points combined from Parts 3 and 4.,，然後從第三部分和第四部分合計取得 8 到 9 分。,42,needs_revision,,[low] style: None; [high] placeholder: None
Draft 1,L1S1,60,"00:05:13,750 --> 00:05:16,560",That gives you a total of 23 to 24.,這樣您就能總共得到 23 到 24 分,100,ok,,
Draft 1,L1S1,61,"00:05:17,620 --> 00:05:20,040","However, this is where the challenge begins.",然而，挑戰從這裡才真正開始。,87,minor_issues,,[low] style: None
Draft 1,L1S1,62,"00:05:20,660 --> 00:05:23,780","In Section 3, you enter an educational conversation.",在第三節，您會進入一段學術對話,32,needs_revision,在第三節，您會進入一段教學對話,[medium] terminology: None; [high] placeholder: None; [low] terminology: None
Draft 1,L1S1,63,"00:05:24,640 --> 00:05:28,380","This is usually a discussion between two to three people about schoolwork,",，通常是兩到三人討論學校作業，例如規,87,minor_issues,,[low] style: None
Draft 1,L1S1,64,"00:05:28,900 --> 00:05:31,840",like planning a project or discussing a thesis with a tutor.,劃專案或與指導老師討論論文。,100,ok,,
Draft 1,L1S1,65,"00:05:32,660 --> 00:05:34,640","In Section 4, it gets harder.",在第四節，難度會更高。,45,needs_revision,,[high] placeholder: None
Draft 1,L1S1,66,"00:05:35,240 --> 00:05:36,740",You face an academic lecture.,您會遇到學術講座,100,ok,,
Draft 1,L1S1,67,"00:05:37,360 --> 00:05:44,280","This is a monologue where one person talks nonstop about a specific subject, like biology or history.",這是一段獨白，一個人不停地講述關於特定主題，像是生物學或歷史。,80,minor_issues,,[medium] terminology: None
Draft 1,L1S1,68,"00:05:45,180 --> 00:05:52,140",These sections often feature unfamiliar topics and complex vocabulary that you might not use in daily life.,這些部分經常包含不熟悉的主題，以及您在日常生活中可能不會用到的複雜詞彙,100,ok,,
Draft 1,L1S1,69,"00:05:53,420 --> 00:05:58,560","This course will give you the techniques and task awareness, basically the map to the treasure.",本課程將提供您技巧和任務意識，基本上就是尋寶圖,80,minor_issues,,[medium] terminology: None
Draft 1,L1S1,70,"00:05:59,220 --> 00:06:02,840",But learning English requires exposure from many different angles.,不過學習英文需要從許多不同的角度來接觸,100,ok,,
Draft 1,L1S1,71,"00:06:02,840 --> 00:06:08,220","You cannot rely on techniques alone, but also on the topic-specific vocabulary.",不能只依賴技巧，還要靠特定主題的詞彙,100,ok,,
Draft 1,L1S1,72,"00:06:09,100 --> 00:06:12,860","For example, you might know all the question types and understand the",例如，您可能知道所有題型並了解必要的技,32,needs_revision,例如，您可能知道所有題型並瞭解必要的技,[high] terminology: None; [medium] terminology: None; [low] style: None
Draft 1,L1S1,73,"00:06:12,860 --> 00:06:16,540","necessary techniques, but what if Part 4 discusses the universe?",巧，但如果第四部分討論的是宇宙呢？,30,needs_revision,技巧，但如果第四部分討論的是宇宙呢？,[medium] terminology: None; [high] placeholder: None; [high] meaning_drift: None
Draft 1,L1S1,74,"00:06:17,420 --> 00:06:22,860","If you don't know words like satellite or comets, techniques won't help you understand the content.",如果您不知道像『satellite』或『comets』這樣的詞彙，技巧也無法幫助您理解內容,87,minor_issues,,[low] style: None
Draft 1,L1S1,75,"00:06:24,260 --> 00:06:27,540",That's the reason why you need to actively expand your vocabulary.,這就是為什麼您需要積極擴充詞彙量,87,minor_issues,,[low] style: None
Draft 1,L1S1,76,"00:06:28,360 --> 00:06:31,140","Doing practice tests is good, but not enough.",做模擬試題很好，但這還不夠,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L1S1,77,"00:06:31,860 --> 00:06:37,080","Listen to podcasts, read books, or watch videos on topics you actually enjoy.",聽播客、閱讀書籍，或觀看關於您真正喜歡的主題的影片,80,minor_issues,,[medium] terminology: None
Draft 1,L1S1,78,"00:06:37,820 --> 00:06:40,300","If you like football, read news about football.",如果您喜歡足球，就閱讀關於足球的news。,77,minor_issues,如果您喜歡足球，就閱讀關於足球的新聞。,[medium] terminology: None; [low] terminology: None
Draft 1,L1S1,79,"00:06:40,840 --> 00:06:43,600","If you like cooking, watch cooking shows in English.",如果您喜歡烹飪，就觀看英文烹飪節目。,100,ok,,
Draft 1,L1S1,80,"00:06:44,580 --> 00:06:45,820",Let's look at the level.,我們來看看程度,100,ok,,
Draft 1,L1S1,81,"00:06:46,500 --> 00:06:53,380","A band 6.0 is equivalent to a B2 level, upper intermediate, of C, E, F, R.","6.0 分等同於 B2 級別，中高級，屬於 C, E, F, R",87,minor_issues,,[low] style: None
Draft 1,L1S1,82,"00:06:54,040 --> 00:06:58,540","This requires a vocabulary of approximately 3,000 to 4,000 words.","這需要大約 3,000 到 4,000 個詞彙量。",87,minor_issues,"這需要大約 3,000 到 4,000 個詞彙。",[low] style: None
Draft 1,L1S1,83,"00:06:59,380 --> 00:07:10,480","If you are currently at a 5.0 or 5.5, which is B1 level, you likely already have a bank of 1,500 to 2,500 words.","如果您目前是 5.0 或 5.5 分，也就是 B1 級別，您可能已經掌握了 1,500 到 2,500 個詞彙。",70,minor_issues,"如果您目前是 5.0 或 5.5 分，也就是 B1 級數，您可能已經掌握了 1,500 到 2,500 個詞彙。",[low] style: None; [medium] terminology: None; [medium] terminology: None; [low] style: None
Draft 1,L1S1,84,"00:07:10,820 --> 00:07:13,980","So to bridge that gap and reach the next level,",因此，為了彌補這個差距並達到下一個級別，,87,minor_issues,,[low] style: None
Draft 1,L1S1,85,"00:07:13,980 --> 00:07:19,900","you need to actively add about 1,000 to 1,500 new words to your vocabulary.","您需要積極地為詞彙量增加約 1,000 到 1,500 個新詞彙",100,ok,,
Draft 1,L1S1,86,"00:07:20,660 --> 00:07:23,580","It sounds like a lot, but we will take it step by step.",聽起來很多，不過我們會一步一步來,80,minor_issues,,[medium] terminology: None
Draft 1,L1S1,87,"00:07:24,180 --> 00:07:26,440",We have the strategy and we know the target.,我們有策略，並且知道目標,87,minor_issues,,[low] style: None
Draft 1,L1S1,88,"00:07:27,100 --> 00:07:29,400",So are you ready to upgrade your listening skills?,，準備好提升您的聽力技巧了嗎？,87,minor_issues,,[low] grammar: None
Draft 1,L1S1,89,"00:07:30,560 --> 00:07:35,440","Alright, those are the basic information we need to know about the IELTS listening test.",好的，這些是我們需要知道的關於 IELTS 聽力測驗的基本資訊。,80,minor_issues,,[medium] terminology: None
Draft 1,L1S1,90,"00:07:35,780 --> 00:07:41,160",Let's continue with the next lesson where we'll learn the strategies for different types of questions in the test.,讓我們繼續下一堂課，我們將學習測驗中不同題型的策略。,70,minor_issues,讓我們繼續下一堂課，學習測驗中不同題型的策略。,[medium] terminology: None; [medium] terminology: None; [low] style: None
Draft 1,L1S1,91,"00:07:41,660 --> 00:07:43,600",Goodbye and see you in the next video.,再見，下個影片見,80,minor_issues,,[medium] terminology: None
Draft 1,L2S1,1,"00:00:12,050 --> 00:00:15,250","Hey guys, welcome back to our IELTS listening course.",大家好，歡迎回到我們的 IELTS 聽力課程。,100,ok,,
Draft 1,L2S1,2,"00:00:15,790 --> 00:00:18,870","Have you ever felt confident that you heard the right answer, wrote",你是否有過這種經歷：明明很有信心聽到了正確,42,needs_revision,你是否有過這種經歷：你是否曾自信聽到了正確的答案的答案,[high] meaning_drift: None; [low] grammar: None
Draft 1,L2S1,3,"00:00:18,870 --> 00:00:21,130","it down immediately, but still got the question wrong?",答案，也立刻寫下來，最後卻答錯了？,87,minor_issues,,[low] style: None
Draft 1,L2S1,4,"00:00:21,290 --> 00:00:25,010","If so, you have likely fallen into a trap known as a distractor.",如果是這樣，你可能已經掉入了所謂的「干擾項」陷阱。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L2S1,5,"00:00:25,150 --> 00:00:28,750",A distractor is a piece of information that looks or sounds like,干擾項是一則看起來或聽起來像的資訊,100,ok,,
Draft 1,L2S1,6,"00:00:28,750 --> 00:00:31,810","the correct answer, but is actually wrong.",正確答案，但實際上卻是錯誤的。,100,ok,,
Draft 1,L2S1,7,"00:00:33,190 --> 00:00:37,650","IELTS uses these to test if you are listening for meaning, rather",IELTS 使用這些來測驗您是否在聆聽意義，,77,minor_issues,,[medium] terminology: None; [low] style: None
Draft 1,L2S1,8,"00:00:37,650 --> 00:00:39,270",than just matching keywords.,而不只是匹配關鍵字。,100,ok,,
Draft 1,L2S1,9,"00:00:39,950 --> 00:00:44,790","This brings us to the first major type of trap, the partial match.",這讓我們進入第一個主要的陷阱類型：部分匹配（partial match）。,45,needs_revision,這讓我們進入第一個主要的陷阱型別：部分匹配（partial match）。,[high] terminology: None
Draft 1,L2S1,10,"00:00:50,460 --> 00:00:55,260","Please note that, when given all choices, you are likely to hear",請注意，當所有選項都出現時，您可能會聽到,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L2S1,11,"00:00:55,260 --> 00:00:57,240",the speaker talking about all options.,講者提到所有選項,77,minor_issues,,[low] style: None; [medium] terminology: None
Draft 1,L2S1,12,"00:00:57,680 --> 00:01:01,900","Just because you hear it mentioned doesn't make it correct, so be",，所以聽到不代表就是正確答案，務,35,needs_revision,只要聽到有人提及，並不代表它是正確的，所以請,[medium] terminology: None; [high] meaning_drift: None
Draft 1,L2S1,13,"00:01:01,900 --> 00:01:05,080",careful to analyze the choices and choose the correct answer.,必仔細分析選項，選出正確答案。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S1,14,"00:01:05,080 --> 00:01:10,200","In a multiple-choice question, you might see options like blue, red, and green.",在選擇題中，您可能會看到藍色、紅色和綠色等選項。,100,ok,,
Draft 1,L2S1,15,"00:01:10,400 --> 00:01:12,780","The recording won't just say, the answer is red.",錄音不會直接說答案是 red。,100,ok,,
Draft 1,L2S1,16,"00:01:12,980 --> 00:01:15,220","Instead, the speaker will mention all three.",相反地，講者會提到這三項。,77,minor_issues,,[low] style: None; [medium] terminology: None
Draft 1,L2S1,17,"00:01:15,420 --> 00:01:21,200","They might say, I originally wanted blue, and green was too bright, so we finally decided on red.",他們可能會說，我原本想選藍色，但綠色太亮了，所以最後決定選紅色。,100,ok,,
Draft 1,L2S1,18,"00:01:21,980 --> 00:01:26,000","If you stop listening, the moment you hear a keyword, you will fail.",如果你停止聆聽，一聽到 keyword 就作答，就會失敗。,100,ok,,
Draft 1,L2S1,19,"00:01:26,260 --> 00:01:32,000",You must listen to the context to understand which option is being accepted and which are being rejected.,您必須聆聽上下文，以了解哪一個選項被接受，以及哪些選項被排除。,45,needs_revision,您必須聆聽上下文，以瞭解哪一個選項被接受，以及哪些選項被排除。,[high] terminology: None
Draft 1,L2S1,20,"00:01:32,280 --> 00:01:34,420",But listing options isn't the only trick.,但列出選項並不是唯一的技巧。,100,ok,,
Draft 1,L2S1,21,"00:01:34,420 --> 00:01:36,840",The second major trap is the self-correction.,第二個主要陷阱是自我糾正。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S1,22,"00:01:37,100 --> 00:01:41,080","This happens when the speaker gives you an answer, but then immediately changes their mind.",這發生在說話者給出答案後，隨即改變主意的情況下。,77,minor_issues,,[low] style: None; [medium] terminology: None
Draft 1,L2S1,23,"00:01:42,400 --> 00:01:45,220","Remember, don't rush to write the first answer you hear.",記住，不要聽到第一個答案就急忙寫下。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S1,24,"00:01:45,500 --> 00:01:46,780",It could be a distractor.,那可能是干擾選項。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S1,25,"00:01:47,660 --> 00:01:51,320",Sometimes the speaker only discusses before giving the final decision.,有時候，發言者在做出最終決定前，僅會進行討論。,77,minor_issues,,[low] style: None; [medium] terminology: None
Draft 1,L2S1,26,"00:01:52,040 --> 00:01:54,060",And that's the correct answer.,那就是正確答案。,100,ok,,
Draft 1,L2S1,27,"00:01:54,620 --> 00:01:57,920",This rush to write is dangerous because of signal words.,這種急忙寫下的行為是危險的，因為有 signal words。,70,minor_issues,這種急忙寫下的行為是危險的，因為有 提示詞。,[medium] terminology: None; [medium] terminology: None
Draft 1,L2S1,28,"00:01:58,180 --> 00:02:04,420","Distractors are almost always followed by contrast markers like but, however, actually, or in fact.",干擾選項後幾乎都會出現转折标记，例如 but、however、actually 或 in fact。,30,needs_revision,,[low] style: None; [low] style: None; [high] None: None; [high] None: None; [high] None: None
Draft 1,L2S1,29,"00:02:04,960 --> 00:02:07,259",Imagine the question asks for a meeting time.,想像問題是詢問會議時間。,100,ok,,
Draft 1,L2S1,30,"00:02:07,479 --> 00:02:09,220","You hear, shall we meet at 5pm?",聽聽看，我們下午五點見好嗎？,100,ok,,
Draft 1,L2S1,31,"00:02:09,440 --> 00:02:11,680",You might write down 5pm.,你可能會寫下下午五點。,100,ok,,
Draft 1,L2S1,32,"00:02:12,240 --> 00:02:15,500","But then the speaker says, actually, I have a dentist appointment then.",但接著演講者說，實際上，我之後有個牙醫預約。,84,minor_issues,,[low] style: None; [low] style: None
Draft 1,L2S1,33,"00:02:15,680 --> 00:02:16,940",Let's make it 6 o'clock.,我們就定在六點吧。,35,needs_revision,,[medium] terminology: None; [high] placeholder: None
Draft 1,L2S1,34,"00:02:17,060 --> 00:02:19,600","The first time, 5 o'clock was the distractor.",第一次，五點是干擾選項。,35,needs_revision,,[medium] terminology: None; [high] placeholder: None
Draft 1,L2S1,35,"00:02:19,760 --> 00:02:21,980",The signal word actually cancelled it.,提示詞實際上取消了它。,100,ok,,
Draft 1,L2S1,36,"00:02:22,140 --> 00:02:26,080","The final time, 6 o'clock was the correct answer.",最後一次，六點是正確答案。,45,needs_revision,,[high] placeholder: None
Draft 1,L2S1,37,"00:02:26,500 --> 00:02:29,600",So the golden rule for this lesson is patience.,所以本課的原則是耐心。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S1,38,"00:02:30,040 --> 00:02:32,320",Never trust the first thing you hear.,永遠不要輕信你聽到的第一件事。,100,ok,,
Draft 1,L2S1,39,"00:02:32,320 --> 00:02:37,700","Keep your pencil moving, but don't finalize your answer until the speaker has finished their thought.",讓鉛筆持續書寫，但在講者表達完想法前，請勿確定答案。,87,minor_issues,,[low] style: None
Draft 1,L2S1,40,"00:02:42,580 --> 00:02:46,300","Now, you might think these traps only apply to multiple choice questions.",現在，你可能認為這些陷阱只適用於多項選擇題。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S1,41,"00:02:46,460 --> 00:02:51,260","But actually, IELTS uses these exact same tricks, signal words, corrections,",但實際上，IELTS 在配對題中會使用這些完全相同的,35,needs_revision,但實際上，IELTS 也會使用這些完全相同的,[medium] terminology: None; [high] meaning_drift: None
Draft 1,L2S1,42,"00:02:51,580 --> 00:02:54,160",and negatives to confuse you in matching questions.,技巧、提示詞、修正和否定詞來混淆你。,74,minor_issues,技巧、提示詞、修正以及否定詞來讓你混淆。,[medium] terminology: None; [low] collocation: None; [low] grammar: None
Draft 1,L2S1,43,"00:02:54,380 --> 00:02:59,180","In a matching task, you aren't just choosing one answer, you're connecting two lists.",在配對題中，你不僅是選擇一個答案，而是將兩個清單進行配對。,100,ok,,
Draft 1,L2S1,44,"00:02:59,820 --> 00:03:02,760",And this is where the negation trap becomes dangerous.,這就是否定陷阱變得危險的地方。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S1,45,"00:03:03,860 --> 00:03:06,540",I see you have a great gym listed here.,我看到這裡列出一家很棒的健身房。,100,ok,,
Draft 1,L2S1,46,"00:03:06,840 --> 00:03:08,300",Do you also have a swimming pool?,你們也有游泳池嗎？,87,minor_issues,,[low] style: None
Draft 1,L2S1,47,"00:03:08,900 --> 00:03:14,680","We used to have a pool on the roof, but unfortunately, it is currently closed for renovations.",我們以前在屋頂有一個游泳池，但不幸的是，目前它正在進行翻新而關閉。,100,ok,,
